p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_ci_lo,ABC-MCMC_ci_hi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_ci_lo,GPS-ABC_ci_hi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_ci_lo,DNN-ABC_ci_hi,DNN-ABC_acc
0.0001,10,39,0.02151496112965668,6.871481909054289e-05,7.277954931586866e-05,8.781331137808287e-05,0.00030895006996927815,1.6437516221367924e-05,0.00032538758619064605,0.6060100166944908,7.98169895071487e-05,0.00023737019816403554,1.4335453700529348e-05,0.0002517056518645649,0.8848080133555927,0.00012862366655785315,0.00031360193713078,2.3646326665679092e-05,0.0003372482637964591,0.8597662771285476
0.0001,10,34,0.02265646061751113,7.340432594687973e-05,7.73354958711239e-05,6.094936752823208e-05,0.00018358738181259565,1.0742165818922114e-05,0.00019432954763151777,0.5843071786310517,8.86879182750988e-05,0.00029494113252216854,2.4652543539913857e-05,0.0003195936760620824,0.8480801335559266,8.618929072176842e-05,0.00022105290295320647,1.585297376881924e-05,0.00023690587672202572,0.9181969949916527
0.0001,10,37,0.022149325443411718,3.9155385442690704e-05,4.131456525974148e-05,5.030079238933822e-05,0.00017143626884869997,1.0753898063254357e-05,0.00018219016691195433,0.5959933222036727,9.663432541280042e-05,0.00023143015273066514,1.761763154470604e-05,0.00024904778427537117,0.8497495826377296,8.318589136400417e-05,0.00023247471904535468,1.5886982858571477e-05,0.00024836170190392615,0.9015025041736227
0.0001,10,38,0.016917098481184164,2.1123983950432912e-05,2.2336171169764348e-05,5.90319439116132e-05,0.0002348333619238372,1.1368439419381238e-05,0.00024620180134321844,0.6477462437395659,4.597464690457051e-05,0.00011509355821260326,1.1083202873274233e-05,0.0001261767610858775,0.9232053422370617,8.493572166217603e-05,0.0003262130825159799,1.4373683646607192e-05,0.0003405867661625871,0.8781302170283807
0.0001,50,13,0.0303012259797494,0.0003920628421538175,0.0004142026693332272,0.00016518452567121546,0.0002458553424411226,6.253872871844047e-05,0.0003083940711595631,0.5592654424040067,0.0001831821162666717,0.00029169419992462644,8.456049342094476e-05,0.0003762546933455712,0.7362270450751253,0.00017310065234084855,0.00021175810173606547,7.333546914955437e-05,0.00028509357088561985,0.7328881469115192
0.0001,50,9,0.025382020738505,0.00012828554124111324,0.00013538475377481348,0.00014948742639471268,0.0002807947871820486,4.43506280839065e-05,0.00032514541526595513,0.5191986644407346,0.00011609307254668494,0.00015513516967071325,6.128185154615127e-05,0.00021641702121686453,0.7712854757929883,0.00011918170755415116,0.00017531379451459525,5.180599309549836e-05,0.00022711978761009362,0.7345575959933222
0.0001,50,17,0.03039916303801352,8.857432970987844e-05,9.340470004215151e-05,0.0001917463863971915,0.00037416461045306426,6.844638971733097e-05,0.0004426110001703952,0.5826377295492488,0.0001891419337326317,0.0003101040140974962,7.585915718211115e-05,0.0003859631712796073,0.7646076794657763,0.00015994317023097193,0.00019858486773787507,7.725012258618725e-05,0.0002758349903240623,0.7412353923205343
0.0001,50,15,0.026758746066470072,7.825745113165805e-05,8.262869955589049e-05,0.00012910087684927835,0.0002294918173216367,2.41352367180119e-05,0.0002536270540396486,0.5191986644407346,0.00012591682989431213,0.00020172328338248437,5.5850014051896564e-05,0.0002575732974343809,0.7412353923205343,0.00012030291563770323,0.00021437396214640916,4.316463184107581e-05,0.000257538593987485,0.7028380634390651
0.0001,50,10,0.02631172667650969,0.00013080343340121647,0.00013835226233670778,0.00013012664760740926,0.00021237379872256917,4.58415672813654e-05,0.0002582153660039346,0.5976627712854758,0.00013582278792952473,0.00022168737623795857,6.12802865485411e-05,0.0002829676627864997,0.7479131886477463,0.00012806884986297219,0.00020936063972103817,3.2108617589243124e-05,0.0002414692573102813,0.7362270450751253
0.0001,50,23,0.024902144789859082,0.00023828433699779605,0.00025151186241807613,0.00012488771589947952,0.0001654525457500405,6.016803739683321e-05,0.0002256205831468737,0.6076794657762938,0.00012442394760389368,0.00020223223156360995,5.494087992051811e-05,0.00025717311148412805,0.7412353923205343,0.0001069208360769265,0.00014070088622384963,5.073249224157168e-05,0.0001914333784654213,0.7612687813021702
