family,method,p1_true,p2_true,tau_true,J,rep,obs,secs,acc,ess_p2,ess_tau,p1,p1_cilen,p1_cov,p2,p2_cilen,p2_cov,tau,tau_cilen,tau_cov
rnn,RNN-ABC,0.0001,0.01,7.0,100,13,0.24207807202494128,2.0619819164276123,0.13671223741247082,10.567029875800362,9.686471130096836,0.004687907251132608,0.0242027502006432,1,0.004160026686549897,0.011703498180148694,1,5.4018510356436185,9.011040786743981,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,12,0.2405646427568098,2.141611099243164,0.1373791263754585,6.836165111418056,14.737874553571785,0.007633986013931803,0.042381778521245854,1,0.006708966118797498,0.029491838580613924,1,5.695232611478328,9.06975132008012,1
rnn,RNN-ABC,0.002,0.008,5.0,100,0,0.296269942453788,2.0465989112854004,0.13204401467155719,4.729626665845135,17.20332225447832,0.01168470476969164,0.039424438828963654,1,0.0041656348605692145,0.020938516182217367,1,5.770864413892576,8.935365340714412,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,14,0.24593196647204316,2.0885016918182373,0.12604201400466822,5.948348875988258,16.10054744994849,0.005404065441784788,0.03808915719191765,1,0.007228584207765723,0.027245843168114698,1,5.9370257262614725,8.649355048974336,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,15,0.2424580063163676,2.0865328311920166,0.14471490496832276,17.03742172676973,8.09694477761887,0.004231204932849622,0.026548330390015546,1,0.005622707089444839,0.01817350907392611,1,5.583853605833502,9.018780017800747,1
rnn,RNN-ABC,0.002,0.008,5.0,100,3,0.29541050060234486,2.102593183517456,0.12104034678226075,9.288005642309741,11.159279417769113,0.006147915587442879,0.02936154679778824,1,0.010170467786096715,0.03589352055921821,1,6.038762551494657,9.154161828549185,1
rnn,RNN-ABC,0.002,0.008,5.0,100,2,0.2872218127517743,2.1046648025512695,0.1300433477825942,10.298286609382863,14.41832842301397,0.0034651918392588224,0.029913705728738266,1,0.0076350125270142535,0.016693060642678087,1,4.114203330616922,9.051285683599573,1
rnn,RNN-ABC,0.002,0.008,5.0,100,1,0.29832542467431145,2.164731979370117,0.13804601533844615,5.070318876317514,22.006377300329728,0.014056876504365396,0.041446878967984525,1,0.0015361382634469128,0.008183612413776666,1,5.739262181564627,7.776075686717197,1
rnn,RNN-ABC,0.002,0.008,5.0,100,5,0.29619124601835656,1.9628002643585205,0.12937645881960655,8.765031415711702,12.938722470849513,0.004063428888443656,0.03770090444365339,1,0.010996297607238316,0.02717204849351483,1,5.071321051477781,8.68430752944157,1
rnn,RNN-ABC,0.002,0.008,5.0,100,11,0.30965631409527083,1.8699541091918945,0.12770923641213738,10.903242033618229,13.896007865673454,0.008190115618780937,0.04059630749533149,1,0.010206716794928116,0.03972559518906333,1,5.518959180497438,9.40891595229748,1
rnn,RNN-ABC,0.002,0.008,5.0,100,4,0.2984079188188822,2.0132267475128174,0.12837612537512505,7.99484870254497,13.019578153767432,0.004951974203262029,0.0317176333539737,1,0.013635805826746648,0.04713502878249447,1,5.717205333304419,9.024633501905468,1
rnn,RNN-ABC,0.002,0.008,5.0,100,6,0.2943253777911629,1.9944100379943848,0.13504501500500166,5.075481304864847,16.293017224530075,0.009724432792894496,0.031153974376875174,1,0.003988534842152983,0.02461891982212417,1,6.007551504220275,8.503106260810641,1
rnn,RNN-ABC,0.002,0.008,5.0,100,7,0.284398506112572,1.960298776626587,0.1373791263754585,4.928812952627403,7.690579158561639,0.006856304817299474,0.03223075462911627,1,0.0034498312983305334,0.009984345931588662,1,4.608809113297685,9.377076548070768,1
rnn,RNN-ABC,0.002,0.008,5.0,100,8,0.3011676188424759,1.9619169235229492,0.13037679226408802,7.122597740979071,11.518976436964309,0.00986678292212057,0.03145869221957547,1,0.005359865686368912,0.032445204838784165,1,6.319782978134748,9.128845560121295,1
rnn,RNN-ABC,0.002,0.008,5.0,100,10,0.30009693394650944,1.9506707191467285,0.1300433477825942,6.252498005981573,19.103135086484176,0.009415652365852036,0.03558204253975997,1,0.00860621485106455,0.0417888090875811,1,6.623668404274661,8.478493360936337,1
rnn,RNN-ABC,0.002,0.008,5.0,100,12,0.29865189641994094,1.9423699378967285,0.13671223741247082,15.469611624870506,16.488665646619328,0.005349329450992789,0.03260277411933201,1,0.00960963138605704,0.028961215601265484,1,4.8250195285516515,8.906196893040649,1
rnn,RNN-ABC,0.002,0.008,5.0,100,9,0.30278397512446475,2.018732786178589,0.14204734911637212,8.351180464235899,18.454890488789257,0.01711567895091294,0.04083482410183863,1,0.001955431224486537,0.008256694987065995,1,5.153711805828569,8.349414809320315,1
rnn,RNN-ABC,0.002,0.008,5.0,100,15,0.2806301429541488,1.961371898651123,0.1397132377459153,11.78800431835222,9.453816861464869,0.009415362066944346,0.04240657125034777,1,0.006713602813186098,0.02996060786099523,1,6.039136719405725,8.406357763613073,1
