p_true,a,delta,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_cilo,ABC-MCMC_cihi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_cilo,GPS-ABC_cihi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_cilo,DNN-ABC_cihi,DNN-ABC_acc
0.001,1.0,0.5,100,16,0.0485512695372099,0.0002289863915513335,0.0002457664777569799,0.0009897898503237498,0.0006747923279760814,0.0006472972350224434,0.0013220895629985248,0.44741235392320533,0.001015610551123546,0.0021470247071976823,0.00035277822328978037,0.002499802930487463,0.7779632721202003,0.00101804803931811,0.0007174761322006974,0.0007213128687920848,0.0014387890009927822,0.5242070116861436
0.001,1.0,0.5,100,14,0.049973150396390525,0.000334163457585801,0.00035963137549469194,0.0010940604761270926,0.000993824223626024,0.0007224285464521125,0.0017162527700781366,0.4357262103505843,0.0009701467782721977,0.0018943287087022198,0.0003105188109432464,0.002204847519645466,0.7913188647746243,0.0010479555515548605,0.0006921757442678065,0.0007601240794357572,0.0014522998237035637,0.4991652754590985
0.001,1.0,0.5,100,20,0.05134705627104877,0.00023909991538362263,0.00025703141500760853,0.001083527834129404,0.0008428303249394381,0.0007202234145072058,0.001563053739446644,0.3806343906510851,0.000989943237013521,0.002144556495141151,0.00025789623078942,0.0024024527259305707,0.7996661101836394,0.0011016992727794896,0.0006558646253273799,0.0008260776742204162,0.001481942299547796,0.4507512520868113
0.001,1.0,0.5,100,17,0.047504513645997816,0.0002660349108604687,0.0002860504522470094,0.0009634889026087087,0.0006291231062180923,0.0006740819539245271,0.0013032050601426194,0.4290484140233723,0.0008674703014176157,0.0017215210917551382,0.0003092686569730202,0.0020307897487281583,0.7746243739565943,0.000957982243541022,0.0005757521785494465,0.000710039248344278,0.0012857914268937245,0.4657762938230384
0.001,1.0,0.5,100,3,0.04344213886880758,0.0002403480548855974,0.00025858245485394974,0.0007993209088374068,0.0005669260201027616,0.0004992308295382985,0.0010661568496410602,0.42070116861435725,0.0007908640023003995,0.001695022187607312,0.00024081277191101056,0.0019358349595183226,0.7963272120200334,0.0007995525526356996,0.00048342890994032507,0.0005972154927948532,0.0010806444027351783,0.46410684474123537
0.001,1.0,0.5,100,18,0.05002272759417226,0.00027922009328684716,0.00030050621299967934,0.0010176422285115357,0.0005819901695849123,0.000746623381248534,0.0013286135508334463,0.44574290484140233,0.000977153437158965,0.002116309553559183,0.0002640900400791081,0.0023803995936382914,0.8013355592654424,0.0010360632051290767,0.0006467817022160631,0.0007467365948931262,0.0013935182971091893,0.5125208681135225
0.001,1.0,0.5,100,13,0.04282879223823278,0.0002670247062051545,0.00028700163676934293,0.0008143223381773267,0.0005494185325487276,0.0005866422862185249,0.0011360608187672525,0.4357262103505843,0.0006813781948569423,0.0013046631771199482,0.00019952715745502627,0.0015041903345749746,0.8080133555926544,0.0007612153800213359,0.0004467247517764101,0.0005808833613919632,0.0010276081131683733,0.5308848080133556
0.001,1.0,0.5,100,26,0.04141605304343896,0.00023433147344498195,0.00025181804622383277,0.0007300963567549781,0.0005213582227255732,0.000515836940527224,0.0010371951632527972,0.4357262103505843,0.0005650108914919879,0.001081259280347898,0.0001861091855760541,0.0012673684659239523,0.8113522537562604,0.0007122224098747381,0.0004534938391524806,0.0005185498648938061,0.0009720437040462867,0.4741235392320534
0.001,1.0,0.5,100,21,0.047274066898320255,0.00023733335154635382,0.0002552685742090454,0.0009187631756244304,0.0006900261901407447,0.0005806193958832604,0.001270645586024005,0.4023372287145242,0.0008861604716266374,0.0016976805066172107,0.00029458675731002253,0.001992267263927233,0.8146911519198664,0.0009314161762917628,0.0006367774444119105,0.0006671746712566008,0.0013039521156685114,0.4707846410684474
0.001,1.0,0.5,100,22,0.049855895224473395,0.0002741218313415117,0.0002948160012994393,0.0010475521908358573,0.0006798404139275478,0.0007385637525860092,0.001418404166513557,0.42237061769616024,0.0009526579595966605,0.0014509339276471437,0.00035843715906206823,0.001809371086709212,0.7996661101836394,0.0010557052889107567,0.000686103920597191,0.000723037174908682,0.001409141095505873,0.5025041736227045
0.001,1.0,0.5,100,24,0.04687347992061192,0.00029013803444805086,0.00031166754612207607,0.000952551159389232,0.0005792911497090858,0.0006854126545080045,0.0012647038042170903,0.44741235392320533,0.0008110874660846397,0.0014587708104621955,0.0002768774619894793,0.0017356482724516747,0.7913188647746243,0.0009223676899373423,0.0006245365150938625,0.0006497480219167615,0.001274284537010624,0.5075125208681135
0.001,1.0,0.5,100,10,0.03907372055611362,0.00027462573639103205,0.0002955770674695698,0.000682056806989263,0.0004813113695412119,0.0004755438287108511,0.000956855198252063,0.4257095158597663,0.0006379485290428245,0.0012651907491377603,0.00023537013006811152,0.001500560879205872,0.8213689482470785,0.0006612012819479257,0.00043124033778608697,0.0004817634883257027,0.0009130038261117897,0.4941569282136895
0.001,1.0,0.5,100,8,0.0419270233978056,0.00024455570832382367,0.00026244905617419485,0.0007348573258111416,0.0006219378035759613,0.00043576483860681235,0.0010577026421827737,0.4724540901502504,0.0006439896158043154,0.0012991932559610335,0.00024073836429208545,0.001539931620253119,0.7996661101836394,0.0007477318856740458,0.0004852239743840572,0.00054326446055104,0.0010284884349350972,0.4791318864774624
0.001,1.0,0.5,100,25,0.048661349922745505,0.0003020671425043031,0.0003245897650754003,0.0010407550408124593,0.0006696797018674738,0.0007236495745122686,0.0013933292763797425,0.3973288814691152,0.0011243937658141378,0.0030022492441272772,0.0001952113237400775,0.0031974605678673548,0.7762938230383973,0.001012103254808659,0.0006588263680096028,0.0007414651010544159,0.0014002914690640187,0.49248747913188645
0.001,1.0,0.5,100,19,0.03811744570582492,0.00025660295233909114,0.00027617112765882494,0.0006173923022704808,0.0005198733609616301,0.00037633425875402887,0.0008962076197156589,0.4590984974958264,0.0005662411038967922,0.0010115912312510214,0.00017102273405926956,0.001182613965310291,0.8096828046744574,0.0006093665034016065,0.00035083063394030444,0.0004619447965841778,0.0008127754305244822,0.4974958263772955
0.001,1.0,0.5,100,27,0.04522696318698374,0.00025903037934432716,0.0002785819960594046,0.0008737380311894204,0.0007983784483888202,0.0004895803945762364,0.0012879588429650566,0.4290484140233723,0.0008449487781120684,0.0017391375251596532,0.0002617895776164475,0.0020009271027761006,0.8030050083472454,0.0008277500538507757,0.00048029436951988337,0.0006173238207865084,0.0010976181903063918,0.5191986644407346
