p1_true,p2_true,tau_true,J,rep,obs,GPS-ABC_secs,GPS-ABC_acc,GPS-ABC_p1,GPS-ABC_p1_cilen,GPS-ABC_p1_cov,GPS-ABC_p2,GPS-ABC_p2_cilen,GPS-ABC_p2_cov,GPS-ABC_tau,GPS-ABC_tau_cilen,GPS-ABC_tau_cov,GPS-ABC_ess_p2,GPS-ABC_ess_tau,GPS-ABC-ref_secs,GPS-ABC-ref_acc,GPS-ABC-ref_p1,GPS-ABC-ref_p1_cilen,GPS-ABC-ref_p1_cov,GPS-ABC-ref_p2,GPS-ABC-ref_p2_cilen,GPS-ABC-ref_p2_cov,GPS-ABC-ref_tau,GPS-ABC-ref_tau_cilen,GPS-ABC-ref_tau_cov,GPS-ABC-ref_ess_p2,GPS-ABC-ref_ess_tau,DNN-ABC_secs,DNN-ABC_acc,DNN-ABC_p1,DNN-ABC_p1_cilen,DNN-ABC_p1_cov,DNN-ABC_p2,DNN-ABC_p2_cilen,DNN-ABC_p2_cov,DNN-ABC_tau,DNN-ABC_tau_cilen,DNN-ABC_tau_cov,DNN-ABC_ess_p2,DNN-ABC_ess_tau
0.0001,0.01,3.0,100,10,0.5966583602318528,1.778028964996338,0.3881293764588196,0.007861377601640447,0.032990448304792946,1,0.007938802293260784,0.02834533895164159,1,5.366330363495941,9.38005151639751,1,8.091623685418464,12.62166099054888,1.7033190727233887,0.7515838612870956,0.009068617830644877,0.04033885287810694,1,0.009609767637395326,0.03667331218774635,1,5.948877792685687,9.243828695407997,1,10.06623429798974,62.51479050509162,1.5245609283447266,0.13604534844948316,0.013070293613020673,0.04861338376248259,1,0.007515051925490717,0.023988075186862932,1,5.462413472168065,8.676472946987163,1,6.88033709237408,13.084077955716118
0.0001,0.01,3.0,100,11,0.5959102743363554,1.6970179080963135,0.41147049016338777,0.008906909160450987,0.03901848490907446,1,0.010847389254783103,0.030980309769350126,1,4.3148611718563865,9.435043582776515,1,24.111716656989366,40.91070895671128,1.7443630695343018,0.7692564188062687,0.007074377936414075,0.03607757417733563,1,0.0037007691086689957,0.030854801982337223,1,6.67828117525882,8.189050394791243,1,16.37946373588038,117.15218039319056,1.5989069938659668,0.14138046015338446,0.0024498708842054895,0.017766921815967465,1,0.01682944611442703,0.04491948115611924,1,5.721398948496377,8.279000021508294,1,11.53004825351285,13.144903278975839
0.0001,0.01,3.0,100,12,0.600961322895509,1.6996610164642334,0.40880293431143716,0.007198478318763469,0.030715224080683595,1,0.00959019802740033,0.027637601637832715,1,5.167685352950566,9.46227648743397,1,8.176791373646461,8.882844717549897,1.6763288974761963,0.7565855285095031,0.007605945113336136,0.03860194839465776,1,0.008556101890523183,0.035401167061504354,1,6.130405686689062,8.830864203889664,1,13.3104387710436,53.23948727982704,1.5618901252746582,0.15271757252417473,0.0056162668551757505,0.025472327292589175,1,0.011386448307675408,0.036760654335473965,1,4.267403145526341,9.234378818384837,1,15.14632890373868,10.337183566887424
0.0001,0.01,3.0,100,13,0.5997208056376414,1.66560697555542,0.3687895965321774,0.011767757749746564,0.04255346142270643,1,0.008369633515850681,0.03358233641335815,1,6.262735005172923,9.065186816453904,1,4.601847390720314,37.692932909855486,1.6973068714141846,0.7782594198066022,0.006301767996448171,0.033847199520403284,1,0.00948611843436342,0.03760632180629168,1,6.256028825470265,8.874474963793041,1,18.121085469301118,93.30708640631146,1.6187210083007812,0.1417139046348783,0.00927738518550949,0.041313401211771426,1,0.011575405064368872,0.04253396452834547,1,6.113314819327311,9.109604927706295,1,7.946031380765959,13.425750006733102
0.0001,0.01,3.0,100,14,0.5876536266618331,1.7485461235046387,0.3584528176058686,0.007700095036625979,0.039624450480003105,1,0.010265901148204363,0.038206636731378855,1,5.355333819815595,8.857071171870736,1,8.425996792097028,40.491935591009856,1.7060410976409912,0.7859286428809603,0.006660099542041715,0.03360422137933197,1,0.007738729296102669,0.030547447794559122,1,6.016310633013517,9.003736655797677,1,23.604252422989884,73.19916996144399,1.5305869579315186,0.1427142380793598,0.009502949562441305,0.04270426889673388,1,0.007567198791779583,0.021876161284245195,1,5.180111586694245,9.288177415320323,1,9.645231532871893,15.21890286239054
0.0001,0.01,3.0,100,15,0.6013825814982657,1.7271151542663574,0.39413137712570856,0.007290080123721129,0.031933894956300224,1,0.011214058433264286,0.04083088282215665,1,5.842725197859847,9.077545875009815,1,4.872976182413024,17.787920128392983,1.6712250709533691,0.7525841947315772,0.006499299110924948,0.03898057943565495,1,0.011211879375523615,0.042512476246065724,1,6.419401013090957,8.788053759732698,1,8.179891071084548,105.21611617289753,1.5691969394683838,0.14204734911637212,0.0030309462646657885,0.028655405141544302,1,0.01398340103511918,0.03904495915030729,1,4.446861485462619,8.661015021262864,1,13.878383885493449,11.801484747808853
0.0001,0.01,7.0,100,0,0.5099504817636846,1.7401039600372314,0.3671223741247082,0.0034524573976651273,0.023218149037813038,1,0.008710957949336327,0.035455823539668696,1,5.660619221557485,9.280333906673805,1,29.67904240548636,24.52564745589426,1.7205328941345215,0.8209403134378126,0.004683983868027249,0.030126248072725337,1,0.005138874372121866,0.03179744807047481,1,6.100546369148795,9.08816334666164,1,24.24899383856619,106.81695639409124,1.5112707614898682,0.13471157052350782,0.0044480894455248676,0.03168573315279319,1,0.006247095573043521,0.018758404584503577,1,4.835916839431462,8.828761974605074,1,18.650730622934883,17.680903118311026
0.0001,0.01,7.0,100,1,0.5022903847702902,1.6599750518798828,0.3431143714571524,0.006591706839364003,0.03777011194070679,1,0.006207674454725712,0.02797980955226005,1,4.713357385235355,9.20729730235456,1,11.679227308148414,27.237521113989658,1.7109031677246094,0.8559519839946649,0.004242501939202056,0.02911884124345796,1,0.004115465265074576,0.02270610224653634,1,5.613335096958983,9.11831810138536,1,19.01027076998441,113.18897483555381,1.575674057006836,0.1533844614871624,0.011796757663417366,0.04543497093902556,1,0.0035224313566676853,0.02459513259890055,1,5.668914034414956,9.016875048923728,1,3.4130196040204903,12.150406382978568
0.0001,0.01,7.0,100,2,0.5076115954094989,1.6836040019989014,0.33311103701233746,0.008878179242153858,0.04104313985952746,1,0.006836980349408692,0.035806013351836606,1,5.85501978442658,9.060053827759909,1,7.295125086731726,14.555612893523389,1.6846859455108643,0.8546182060686895,0.0037289520469877147,0.028510875931705343,1,0.00225795229090656,0.017325282476380616,1,6.141875954532759,9.014694996326261,1,30.662312825173647,107.74954118281242,1.5262939929962158,0.14938312770923642,0.007837457157267108,0.039308064710778,1,0.007262310116541654,0.026343158400022906,1,4.611665674052338,9.233351897402953,1,7.494889802165895,9.135322976317422
0.0001,0.01,7.0,100,3,0.5124711313034277,1.7086381912231445,0.32344114704901633,0.00798026649723217,0.04222253456421028,1,0.0046980474169474136,0.026424298423135144,1,5.623781100373191,9.396055660597572,1,7.203114944977,20.083669333137053,1.688720941543579,0.843947982660887,0.00451083192361262,0.030760427782195107,1,0.005418137965667302,0.026634255560830353,1,5.687651775196335,9.120902587792711,1,20.135273789197363,66.25815180152857,1.5753452777862549,0.16572190730243413,0.0034989449134902773,0.018560607599622733,1,0.007588532251107159,0.024684113180925817,1,4.719586558141782,9.19990702009976,1,27.206750317641223,18.11334203924411
