p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_acc
0.0001,100,16,0.020419755343261854,5.358143260014714e-05,5.660690799081618e-05,7.859141575428796e-05,9.490118650785632e-05,0.5475792988313857,7.645820257451327e-05,8.506867184463431e-05,0.667779632721202,8.390824927965387e-05,9.666052617022261e-05,0.6944908180300501
0.0001,100,6,0.021595519871132125,5.514628680552969e-05,5.8312880865762296e-05,9.643795224945e-05,9.157936866537172e-05,0.5759599332220368,8.990344673155673e-05,0.00013081275904724846,0.67779632721202,8.388172757072938e-05,9.50129816492116e-05,0.6894824707846411
0.0001,100,5,0.019255042083160836,6.020927534117204e-05,6.361910046785034e-05,7.871703306508803e-05,9.559585866401692e-05,0.5358931552587646,7.622850687887979e-05,0.00017817690062877154,0.67779632721202,6.835249088725035e-05,9.695882185676788e-05,0.6961602671118531
0.0001,100,21,0.030658232639284678,0.0002793522757331135,0.00029541745473112235,0.00017907272345036383,0.00022402682944811373,0.5575959933222037,0.0001745482346518285,0.00018554549810291057,0.66110183639399,0.00017336457221494287,0.00020965901732590038,0.6327212020033389
0.0001,100,11,0.020889601891665454,6.41258336532835e-05,6.775506383499936e-05,8.221425874491454e-05,0.00010532916321929011,0.5525876460767947,8.282184197628025e-05,8.339182903892388e-05,0.6994991652754591,8.411603008296304e-05,0.00011268887415788226,0.7212020033388982
0.0001,100,10,0.021385802408860895,7.718882982327147e-05,8.15905784042919e-05,8.97500016631915e-05,9.463876910162426e-05,0.5091819699499165,8.954874859422913e-05,0.000108999646327514,0.6377295492487479,8.112637767389426e-05,0.00011918603016104957,0.7061769616026711
0.0001,100,14,0.02131277826107599,9.467091019293994e-05,0.00010003128224461499,8.744390679204912e-05,0.00012093911082564018,0.5175292153589316,8.847253926499254e-05,9.155688289890545e-05,0.6861435726210351,7.781691413963754e-05,0.00011320900513365304,0.7195325542570952
0.0001,100,23,0.025513961666993473,0.00012122446231405126,0.00012818267796743134,0.0001236967006370584,0.00013878434976586756,0.5726210350584308,0.0001243695076051781,0.0001526942303705779,0.657762938230384,0.00011498225815017525,0.00014519850284093973,0.6994991652754591
0.001,10,0,0.041174193690648384,0.00023433226604413493,0.00025104866393548724,0.00028013180026747596,0.0007650831572490762,0.6260434056761269,0.00032424653126185914,0.00035816301601620057,0.7045075125208681,0.00030434631522459305,0.000298569440584461,0.6310517529215359
0.0001,100,15,0.01931283524144167,3.9553186351848346e-05,4.17921624406056e-05,7.3830417592394e-05,0.00010203661783483051,0.5442404006677797,6.963921010315411e-05,7.462566736024915e-05,0.669449081803005,7.072601288345377e-05,0.00010320680763807186,0.6894824707846411
0.0001,100,17,0.021545254675820892,4.9218239854986745e-05,5.2037467314131595e-05,8.776358381184908e-05,9.297367389855785e-05,0.5492487479131887,9.417113310222987e-05,0.0001172135709522134,0.659432387312187,9.38787482540974e-05,0.00013542780787184112,0.659432387312187
0.001,10,1,0.07917230862519377,0.0009398121410429394,0.0010037352129094253,0.0008768611751234248,0.002805757339783302,0.6360601001669449,0.001144074269490004,0.001246591328126413,0.6894824707846411,0.0011388963142250465,0.0009943974078661841,0.5859766277128547
0.0001,100,25,0.0232363880704952,7.683410172915073e-05,8.120882002032278e-05,9.298514355943118e-05,0.00011815477418367936,0.5175292153589316,0.0001099761506165141,0.00014415039301315404,0.6828046744574291,9.489525553508329e-05,0.0001256642242296655,0.7061769616026711
